songstats_id,PWR,title
zlgo9r5k,10.7223,hands up high
esrb4y8i,10.6919,is it true what i feel
njeurmv8,10.6901,hideaway
v23gf7o9,10.6791,wish.
bz98h5jk,10.5497,make 'em proud
5ukvsmw8,10.5295,close to me
rexuiqf8,10.4299,the stars
dw3unsi6,10.417,looking for diversion lenzman & duskee remix
hjsrobdi,10.2502,until i saw you
jg38fwtp,10.2416,throw you back
tuxsb1on,10.2362,lost in you
cbyzwnjl,10.2343,need some space
dhw3o52q,10.2244,use my love
lhbqmypn,10.1909,stay
dienzcv7,10.1892,win & lose
8hvbfi7e,10.183,lion's cage solomon france remix
7i9tznkj,10.1825,verve
oved4awp,10.158,world wide web
0yiart2k,10.1153,saturn
1y7ua3jz,10.1081,holding on to you
nj5wbo31,10.0864,journey au5 remix
cal17b5g,10.0478,terminal
n4v73jga,10.0245,overstimulated
hblx43gq,9.9751,blood pressure
2co43bvn,9.9403,be mine
71w2snkh,9.8258,let me know
k25qhipr,9.8229,boutta go in
8zoh7vr6,9.7956,let you down
847p1x5v,9.7654,never let you down
0wpg1fj9,9.7574,hopelessly falling
mlwfg9v4,9.6822,non-reflection
nwqit015,9.6289,curse of the moai
w7k9xub6,9.5997,choir of the banshees
co58ipjh,9.5885,rage
mi2q95cb,9.5688,binary blood
i8rzbof9,9.5662,panache
72dyasui,9.5269,don't be gone too long
09jrhipn,9.5006,power
ybmj176p,9.4145,freefalling
2ezqayiv,9.4007,sugar spice
79iyxjub,9.3988,mantarave
ijm0vf5o,9.3603,weatherboy
tfbw7g5m,9.3159,pretty little raver
aeg5ndo7,9.2817,u got me
kaozxn81,9.2121,pull me through the fire citadelle remix
r0a6nsik,9.1848,unbroken
0otbjv8w,9.1355,u don't mind
pu3v0w1y,9.1055,crazy
eycwi8m2,9.0515,flow vip
vcrh9dw0,8.9142,limerence
o4fc0uh5,8.8878,bodybag
8u5anlo2,8.8181,riot raizhell remix
q2glp9bx,8.7891,falling
yqbm6vu9,8.7632,falling
fd7q8kyo,8.7172,overdose tatsunoshin remix
95a23xwt,8.6963,in silence
g385fptk,8.591,rollerfunk
9f6kgbea,8.4662,right away
px0ius58,8.4398,so long
melydw13,8.3557,i know
1io7b0kn,8.2682,lost in music
5qmnif0e,8.2548,czardas
rk2z9vum,8.1522,eyez on me
uiexkv8r,8.1214,liminal
brpfkjv2,8.1044,another world
1g06asuw,8.0865,four leaf clover
zj4eg16q,7.9277,pyroclastic
gs7r6wok,7.9191,moment
7cio56kn,7.7996,selfish
6w839l4i,7.7952,leave right now
oetxfzq7,7.7631,feel
9t08m7fp,7.6957,all night
oba51fku,7.6845,peaced out
cz2gklmo,7.5844,feel it
bli7kr2y,7.5094,bubbles
t842se35,7.4264,on repeat
0w3fzjla,7.373,assassins
bmsq31w0,7.3729,night & day
dxiouq7b,7.3661,all i need
0hnpamdo,7.3515,portal
l4odse6b,7.3247,betelgeuse
b4razlvm,7.3062,mega melodic riddim vol. 2 demo
3d6oactl,7.2883,rush
96oqrshv,7.1608,a journey's pace
q5pd7b6g,7.102,untouchable
uz1jx7ln,7.0687,unconditional love
mkp6o1r9,7.0526,underwater sam m remix
